file_path,experiment_id,position,trap_num,sample_id,treated,timepoint,species_label
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-00.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,0,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-01.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,1,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-02.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,2,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-03.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,3,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-04.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,4,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-05.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,5,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-06.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,6,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-07.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,7,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-08.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,8,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-09.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,9,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-10.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,10,P. aeruginosa
C:\Users\silve\Documents\210\data\Cropped-png-EXP-20-BV6126 AST FISH 201116\Pos101\trap-16_id-43-16\phase-11.png,BV6126 AST FISH 201116,101,16,43-16,Untreated,11,P. aeruginosa
